Nome;Id. B2W;SKU Parceiro;Preço de;Preço por;Qtd. Estoque;Ean;Situação;Motivo Reprovação;mensagem
Jogo de Roda Aro 14 FIAT CRONOS BLACK 4X98;1850415755;7010639565880B2W;R$ 1.595,05;R$ 1.595,05;9;7010639565880;"PUBLICADO;"; ;
Kit 5 Toalhas Banho Para Praia Piscina Cruzeiro - Lufamar;1850416037;F95324C50B90A65B69844EF6B39375;R$ 219,90;R$ 219,90;1; ;"PUBLICADO;"; ;
Kit 5 Toalhas Banho Para Praia Piscina Cruzeiro - Lufamar;1850416037;P41653S22B2W-0;R$ 219,90;R$ 219,90;0; ;"SE;"; ;
CÁPSULA DE CAFÉ COMPATÍVEL COM NESPRESSO AROMAS CARAMELO 10 CÁPSULAS - BAGGIO;1850417814;7898922711554B2W;R$ 27,90;R$ 27,90;3;7898922711554;"PUBLICADO;"; ;
Toalha De Banho Unique Militar/Roma Jogo 4 Peças Lufamar;1850418067;P58425S22B2W;R$ 99,90;R$ 99,90;4; ;"PUBLICADO;"; ;
Jogo de roda aro 17 Toyota Corola Preta diamantada Furação 5x100;1850417128;7010639567099B2W;R$ 2.262,11;R$ 2.262,11;6;7010639567099;"PUBLICADO;"; ;
Jogo com 4 Rodas Aro 17 TARANTULA 5X100 PRETA DIAMANTADA;1850417283;7010639560663B2W;R$ 2.284,74;R$ 2.284,74;1;7010639560663;"PUBLICADO;"; ;
Jogo de roda Aro 17 VW Tiguan Black Furação 5x112;1850416264;7010639566597B2W;R$ 2.262,11;R$ 2.262,11;2;7010639566597;"PUBLICADO;"; ;
Jogo de roda Aro 18 VW Tiguan Black Furação 5x112;1850418770;7010639566689B2W;R$ 2.752,22;R$ 2.752,22;0;7010639566689;"SE;"; ;
Jogo com 4 Rodas Aro 13 FURAÇÃO 4X100 PRETA DIAMANTADA;1850419385;7010639558370B2W;R$ 1.491,69;R$ 1.491,69;0;7010639558370;"SE;"; ;
Jogo com 4 Rodas Aro 14 FURAÇÃO 5X114,3 FACE DIAMANTADA;1850418032;7010639558684B2W;R$ 2.398,36;R$ 2.398,36;5;7010639558684;"PUBLICADO;"; ;
Jogo com 4 Rodas Aro 14 FURAÇÃO 4X108 PRETA DIAMANTADA;1850416598;7010639558585B2W;R$ 1.595,05;R$ 1.595,05;4;7010639558585;"PUBLICADO;"; ;
Dental Timer + Porta dentinhos c/ Certificado Fada do Dente;1850416619;P36111S76B2W-3;R$ 55,00;R$ 55,00;3; ;"PUBLICADO;"; ;
Dental Timer + Porta dentinhos c/ Certificado Fada do Dente;1850416619;P36111S76B2W-2;R$ 55,00;R$ 55,00;2; ;"PUBLICADO;"; ;
Jogo de Roda Aro 18 VW Jetta Preta Diamantada Furação 4x100;1850418551;7010639566900B2W;R$ 2.752,22;R$ 2.752,22;4;7010639566900;"PUBLICADO;"; ;
Jogo com 4 Rodas Aro 22 FURAÇÃO 5X120 PRETA DIAMANTADA;1850418892;7010639562285B2W;R$ 5.160,30;R$ 5.160,30;0;7010639562285;"SE;"; ;
Dental Timer + Porta dentinhos c/ Certificado Fada do Dente;1850416619;P36111S76B2W-1;R$ 55,00;R$ 55,00;3; ;"PUBLICADO;"; ;
Jogo com 4 Rodas Aro 17 FURAÇÃO 5X100 PRETA DIAMANTADA;1850416766;7010639560304B2W;R$ 2.284,74;R$ 2.284,74;1;7010639560304;"PUBLICADO;"; ;
Jogo de Roda Aro 17 FIAT CRONOS BLACK 4X98;1850419300;7010639566481B2W;R$ 2.262,11;R$ 2.262,11;2;7010639566481;"PUBLICADO;"; ;
Jogo de Roda aro 14 HB20 Grafite Brilhante Furação 4x100;1850413101;7010639566979B2W;R$ 1.579,01;R$ 1.579,01;15;7010639566979;"PUBLICADO;"; ;
Jogo com 4 Rodas Aro 15 FURAÇÃO 5X114 TODA DIAMANTADA;1850416820;7010639559483B2W;R$ 2.336,88;R$ 2.336,88;5;7010639559483;"PUBLICADO;"; ;
Colchão Castor Black White Espuma D33 Double Face 1,58x1,98x25 Queen;1850416862;7895606821134B2W;R$ 1.700,00;R$ 1.700,00;0;7895606821134;"SE;"; ;
